名称,面积(㎡),月租金(元)
霍营 育新 回龙观 龙旗广场 良庄春天里 龙跃苑三区,20.0,2500
平西府 育知路 回龙观东大街 文华市场 温都水城 马,18.0,1500
"回龙观地铁站 龙博苑二区精装次卧,三家合住,实图实价",15.0,1500
回龙观东大街 霍营 回龙观 国风美唐 龙跃苑三区 全,10.0,1000
13号线回龙观 华联商厦 龙旗广场 三旗百汇 龙博苑,25.0,2400
"有需要请联系,沙河房源偏多。出租整租和合租,房源全是",80.0,1300
新龙城一期 龙泽地铁站 三家合租每家住一个人 朝南主,18.0,2400
回龙观地铁站 霍营 华联 三旗百汇 龙旗广场 龙博苑,16.0,1700
霍营 回龙观 良庄春天里 首开广场 龙跃苑三区全女精,17.0,1200
南北通透龙回苑3室2厅精装修,116.0,5900
西三旗 西二旗 回龙观 龙泽 霍营 华联商厦 新龙城,13.0,1800
8号线平西府 正德大厦 禧乐汇生活广场 马连店家园主,20.0,2200
安达医院 北京华联 霍营地铁站 龙跃苑东四区精装次卧,15.0,1800
沙河 七里渠 朱辛庄 押一付一 家电齐全 电梯房 租,22.0,1300
回龙观 龙泽 霍营 华联商厦 龙冠商务中心 龙博苑一,25.0,1800
13号线回龙观 龙泽 霍营 华联商厦 龙博苑 新龙城,20.0,2800
13号线回龙观 龙旗广场 华联商厦 龙博苑一区主卧独,25.0,2300
回龙观 龙泽 霍营 华联商厦 北店时代广场 龙腾苑六,22.0,2600
朱辛庄新房出租 高端小区 小三居 首次业主直租 配套,89.0,7500
5室2厅流星花园一区,270.0,22000
2室1厅国风美唐朗观 霍营 干净整洁,91.0,7300
回龙观 龙锦苑东一区 2室 找我可以看多套 配套全,91.0,5500
吉晟别墅4室2厅企业推荐房源,224.0,18000
南北通透龙锦苑一区3室2厅,126.0,6300
吉晟别墅4室2厅企业推荐房源,224.0,18000
南北通透龙锦苑一区3室2厅,126.0,6300
2室1厅国风美唐朗观,91.0,7300
本周新上!保真!价格能聊!随时能住!包物业取暖!带明,94.0,8600
5室2厅流星花园一区,270.0,22000
5室2厅国风美唐美唐花园,93.0,9000
南北通透龙锦苑一区3室2厅,126.0,6300
本周新上!保真!价格能聊!随时能住!包物业取暖!带明,94.0,9000
2室1厅龙锦苑东区1,118.0,5300
2室1厅龙锦苑东区1,118.0,5300
13号线龙泽 回龙观 霍营 新龙城二期 大落地窗阳台,45.0,2000
13号线回龙观 霍营 龙泽 育知路 平西府 东亚上北,50.0,3000
13龙泽 回龙观 豪华装修朝南温馨次卧 地铁西二旗,18.0,1799
性价比好房!朱辛庄全女生卧室出门朱辛庄地铁小米TBD,95.0,1799
急急急!花园80平!华远静林湾联排别墅 空房 随时看,254.0,14000
尚城复式随时看房入住 家具家电齐全,70.0,4000
免佣 月付 东小口 天鑫家园 紫金书院 龙锦苑 精装,69.0,6500
沙河 巩华城 朱辛庄 生命科学园 西二旗 整租 电梯,25.0,1300
平西府地铁8号线 马连店家园小区 精装大两居室 南北,86.0,5200
回龙观东大街 平西府 育知路 首开广场 文华市场 田,13.0,1300
回龙观 霍营 国风美唐三期 南向两居室 装修 全屋定,88.0,8000
西二旗 8号线平西府 田园风光雅苑精装主卧合租,18.0,1400
整租回龙观首开国风美唐二期3室1厅,92.0,7500
新出!蓝色调!两个大阳台!明厨!落地窗!,92.0,6800
回龙观 平西府 流星花园三区 电梯房 采光好 3室1,80.0,5700
8号线平西府地铁 整租朝南两居室 地铁近 采光好 带,98.0,5000
急急急!龙城花园!500大独栋!包物业取暖!居住均可,403.0,26000
回龙观 霍营龙锦苑东一区 精装二居室 南北通透8号线,99.0,5000
地铁8号线 整租回龙观公园悦府一区两居室 随时看房,86.0,5800
整租 · 回龙观 · 龙锦苑四区 · 3室1厅,131.0,7800
平西府地铁站 马连店家园 南向两居室 家电家具齐全,76.0,5400
整租回龙观首开国风美唐一期2室1厅,94.0,7300
泰华龙旗广场精装次卧 朝南高层 1600/月,15.0,1600
平西府地铁口 中间层两居室 精装修,89.0,5500
龙泽地铁站 新龙城小主卧 三家合租 近地铁小米 百度,18.0,1500
龙泽 回龙观 西三旗 西二旗 电梯中层 新龙城精装主,20.0,2500
"霍营回龙观,精装3居,地铁13号线8号线,月付免押,",93.0,6800
整租 · 回龙观 · 龙锦苑四区 · 3室1厅,131.0,5900
骊龙园精装次卧 18平朝南 近育知路地铁 押一付三,18.0,1800
平西府 和谐家园 首开 云趣园 风雅园 龙回苑 田园,30.0,1800
紧临回龙观地铁站 龙跃苑 三层两居室 房主签约 看房,100.0,5500
流星花园二区 3室1厅1卫 精装修 拎包入住,112.0,6300
回龙观龙腾苑六区 二层三居室 13号线地铁 西二旗上,119.0,7200
"平西府地铁,马连店家园,全南向两居室,电梯高层,包物",71.0,5200
沙河地区 朱辛庄 巩华城 押一付一 整租独卫 家电齐,25.0,1300
龙旗购物中心 回龙观医院 回龙观地铁 龙博苑精装主卧,20.0,1800
回龙观 流星花园三区 精装三居室 电梯房 采光好 平,110.0,6800
"霍营地铁站附近,龙跃苑四区精装修两居室",91.0,5200
整租 诗和远方很贵 但找我租房不贵 月付拎包即住,22.0,1300
首开国风美唐朗观 2室1厅1卫,90.0,6000
回龙观 霍营龙锦苑东一区 精装二居室 南北通透8号线,99.0,5000
急急急!龙城花园!500大独栋!包物业取暖!居住均可,403.0,26000
南北通透 3室2厅 和谐家园(一区) 次出租 家具好,126.0,6700
整租回龙观东大街地铁8号线霍营龙锦苑东一区3室2厅2,125.0,6300
8号线平西府地铁 整租朝南两居室 地铁近 采光好 带,93.0,4800
原木式装修!尚城近 永旺商城 领秀慧谷 合生汇 昌平,15.0,1999
8号线地铁站 精装100平米两居室真实照片价格 随时,102.0,5000
急急急!龙城花园680平大独栋!包物业取暖!居住均可,681.0,28000
平西府地铁附近 田园风光雅苑东区 两间次卧在一起,18.0,1800
急急急!华远静林湾中间联排 花园60平 精装修 靠谱,233.0,15000
13号线龙泽 回龙观 霍营 新龙城二期 大落地窗阳台,45.0,2000
急急急!龙城花园S区 150平 家具家电全齐 随时签,209.0,12000
0押金可月付 2层 南北通透民水民电 三居两卫 随时,147.0,7200
8号线地铁 中间楼层 三居室出租 真实照片 价格 随,125.0,6500
整租回龙观首开国风美唐二期3室1厅,96.0,6500
回龙观地铁站 龙旗广场 三旗百汇 北京华联 精装次卧,14.0,1600
急急急!龙城花园W区 大平层公寓 精装修 家具家电全,192.0,11500
平西府 育知路 回龙观东大街 正德大厦 马连店家园,30.0,1000
(0押金月付)霍营龙跃苑一区精装修低楼层三居,113.0,6300
整租 霍营 龙锦苑东二区 2室1厅,125.0,6000
回龙观 龙泽 霍营 育新 龙旗广场 三旗百汇 龙博苑,25.0,1900
8号线回龙观东大街 商业广场 上坡嘉园精装主卧带阳台,20.0,2000
龙跃苑(四区) 通风好 家电齐全 精装修,139.0,6500
回龙观 霍营 国风美唐三期 南向两居室 装修 全屋定,88.0,8000
回龙观东大街地铁 分校 首开商业街,15.0,1300
领秀慧谷C区(一区) 阳光充足 家电齐全 精装修,82.0,6200
泰华龙旗广场精装次卧 朝南高层 1600/月,15.0,1600
三旗百汇 龙旗广场 华联商厦 回龙观医院 西三旗 回,20.0,1800
沙河整租 诗和远方很贵 但找我租房不贵 月付拎包即住,22.0,1300
8号线13号线霍营 龙跃东四 两室一厅 随时入住,98.0,5200
8号线地铁站 精装100平米两居室真实照片价格 随时,102.0,5000
急急急!龙城花园680平大独栋!包物业取暖!居住均可,683.0,28000
平西府地铁站 马连店家园 南向两居室 家电家具齐全,76.0,5400
回龙观 流星花园三区 精装三居室 电梯房 采光好 平,110.0,6800
8号线回龙观东大街600米 朝南主卧带独卫 干净整洁,20.0,2800
"13号线地铁站龙博苑二区精装两居室,可当三居,自如装",86.0,5000
公园悦府(二区) 3室2厅2卫,120.0,9500
龙泽地铁站 滴滴天空城 元中心 快手小米 软件园百度,13.0,1200
整租龙泽新龙城3室1厅,118.0,7500
回龙观 霍营龙锦苑东四区 精装二居室 南北通透8号线,102.0,5800
8号线回龙观东大街地铁 和谐家园 南向主卧带独卫 中,19.0,2600
"8号线,龙锦苑东一区,精装两居,看房随时,价格可谈,",99.0,5000
新出!蓝色调!两个大阳台!明厨!落地窗!,92.0,7300
免佣 月付 东小口 天鑫家园 紫金书院 龙锦苑 精装,69.0,5500
8号线平西府 回龙观 育知路 京都儿童医院 马连店家,16.0,1000
13号线回龙观 龙泽 华联商厦 三旗百汇 龙旗广场,10.0,1100
回龙观精装两居室 距离地铁200m 免押金可月付,90.0,6900
新龙城五期精装次卧 低层安静 1900/月,15.0,1900
急急急!华远静林湾中间联排 花园60平 精装修 靠谱,233.0,15000
霍营 回龙观东大街 首开广场 良庄春天里 国风美唐综,55.0,4300
十三号线回龙观地铁口 精装南向独卫 上地 西二旗 五,15.0,1799
回龙观东大街 霍营 龙锦苑东四 四家两卫 精装厅卧合,19.0,1600
"8号线平西府,流星花园三区,朝南主卧带阳台,电梯洋房",19.0,1300
免佣 月付 东小口 天鑫家园 紫金书院 龙锦苑 精装,69.0,6500
8号线平西府地铁 公园悦府精装三居 交通便利 随时入,101.0,6000
8号线50米复式大一居 配套齐全 拎包入住 包物业取,45.0,4600
尚城复式精装随时看房入住,78.0,4500
沙河 巩华城 朱辛庄 生命科学园 西二旗 整租 电梯,25.0,1300
"流星花园三区精装电梯三居两卫,还有神秘折扣",126.0,7500
急急急!华远静林湾中间联排 花园60平 精装修 靠谱,232.0,15000
公园悦府(二区) 3室2厅2卫,120.0,9500
回龙观 流星花园三区 两居室 整租 积水潭医院附近,101.0,6000
回龙观东大街地铁站首开国风美唐二期两居室,78.0,6500
回龙观 霍营 和谐家园二区两居6000,94.0,6000
平西府地铁站 马连店家园 南向两居室 家电家具齐全,76.0,5400
8号线13号线霍营 龙跃东四 两室一厅 随时入住,98.0,5200
8号线平西府地铁 整租朝南两居室 地铁近 采光好 带,98.0,5000
急急急!龙城花园680平大独栋!包物业取暖!居住均可,680.0,28000
急急急!龙城花园680平大独栋!包物业取暖!居住均可,681.0,28000
回龙观 育知路 积水潭医院 民水电气 集中供暖 东亚,50.0,3000
"8号线,13号线,回龙观,平西府地铁口,电梯房马连店",91.0,5400
回龙观高档小区。平西府地铁口。空中花园公园悦府精装两,88.0,5800
8/13号线地铁霍营站 龙跃苑东二区 朝南厅隔 二楼,20.0,2000
龙泽地铁站 滴滴天空城 元中心 快手小米 软件园百度,13.0,1200
平西府地铁口 中间层两居室 精装修,89.0,5500
直签!中天创业园你近珠江摩尔合生汇国家知识 产权泰康,13.0,1599
平西府 育知路 回龙观东大街 紫晶七星 园风光雅苑主,25.0,2200
流星花园二区 3室1厅1卫,112.0,6800
13号线龙泽 回龙观地铁站旁 精装开间出租 电梯房,98.0,5200
平西府地铁口 电梯房 流星花园三区 三室两厅两卫 采,122.0,6800
整租回龙观公园悦府一区2室1厅,93.0,6800
回龙观东大街 紫晶七星广场 首开 霍营 平西府 天龙,45.0,2600
813霍营站 南北通透 带衣帽间 三局两卫 龙跃苑东,125.0,7900
"霍营地铁,美唐三期电梯两居室,没出租过,可养宠物,价",93.0,6500
8号线 小区紧邻地铁 朝南主卧独卫带飘窗 田园风光,20.0,1800
泰华龙旗广场精装次卧 朝南高层 1600/月,15.0,1600
急急急!花园80平!华远静林湾联排别墅 空房 随时看,254.0,14000
急急急!龙城花园W区 花园200平 豪华三居两卫 家,192.0,12000
美唐三期 霍营地铁 精装修婚房出租 电梯高层,88.0,6800
回龙观东大街 霍营 精装两居 随时入住,102.0,5400
首开国风美唐 2室1卫1厅 91.54平精装修,91.0,7300
回龙观东大街 霍营 京都儿童医院 中顺大厦 龙锦苑主,20.0,2500
整租 霍营 龙锦苑东二区 2室1厅,125.0,6000
原木式装修!尚城创业单间商住一体近珠江摩尔超极合生汇,10.0,1000
8号线13号线 霍营 京都儿童医院 两居一卫 随时入,98.0,5700
首开国风美唐朗观 2室1厅1卫,90.0,6000
整租 · 回龙观 · 龙锦苑四区 · 3室1厅,131.0,5900
月付免押 可公积金 美唐三期精装3居2卫 随时可看,128.0,9500
8号线地铁站 精装100平米两居室真实照片价格 随时,102.0,5000
整租 · 回龙观 · 龙锦苑四区 · 3室1厅,131.0,7800
"回龙观东大街地铁 和谐家园二区,南向主卧独卫 四家2",18.0,2000
8号线回龙观东大街600米 朝南主卧带独卫 干净整洁,20.0,2800
急急急!龙城花园!院500大独栋!包物业取暖!居住均,401.0,26000
沙河 巩华城 朱辛庄 押一付一 精装整租 家电齐全,25.0,1300
尚城复式随时看房入住 家具家电齐全,70.0,4000
13号线回龙观地铁站 电梯房 主卧带阳台 三家合租,16.0,1300
精装两居 随时看房入住 家具家电齐全,66.0,5500
8平西府地铁 朝南次卧带飘窗 电梯房 室友干净 随时,18.0,1600
整租回龙观东大街地铁8号线霍营龙锦苑东一区3室2厅2,125.0,6300
"霍营地铁,美唐三期电梯两居室,没出租过,可养宠物,价",93.0,6500
"8号线,龙锦苑东一区,精装两居,看房随时,价格可谈,",99.0,5000
整租霍营龙锦苑东三区2室1厅,102.0,6800
急急急!花园80平!华远静林湾联排别墅 空房 随时看,254.0,14000
8号线13号线霍营地铁龙跃苑一区三楼三居一卫整租,113.0,6300
龙跃苑(四区) 通风好 家电齐全 精装修,139.0,6500
回龙观 霍营龙锦苑东一区 精装二居室 南北通透8号线,99.0,5000
急急急!龙城花园S区 150平 家具家电全齐 随时签,209.0,12000
整租回龙观公园悦府一区2室1厅,93.0,6800
整租回龙观首开国风美唐一期2室1厅,94.0,7300
13号线回龙观 精装朝南大次卧 对面华联 距地铁一二,15.0,1600
回龙观地铁站 龙腾苑六区 朝南温馨次卧 一屋一人 包,18.0,1600
无杂费!上坡家园正规两居近回龙观东大街地铁首开LON,75.0,5800
整租霍营龙锦苑东一区3室1厅,125.0,7000
8号线平西府600米 正规朝南主卧带阳台 地铁300,20.0,1800
0押金月付 8号线地铁口 南北通透两居 4层 民水民,85.0,5100
育知路 龙泽 回龙观 龙冠商务中心 北店时代 东亚上,50.0,3000
813霍营地铁口 超大朝南次卧精装修 家电齐全 随时,15.0,1400
0押金可月付 2层 南北通透民水民电 三居两卫 随时,147.0,7200
紧临回龙观地铁站 龙跃苑 三层两居室 房主签约 看房,100.0,5500
"流星花园三区精装电梯三居两卫,还有神秘折扣",126.0,7500
整租回龙观首开国风美唐一期2室1厅,92.0,6300
回龙观高档小区。平西府地铁口。空中花园公园悦府精装两,88.0,5800
回龙观东大街地铁 分校 首开商业街,15.0,1300
直签!尚城 永旺商城 领秀慧谷 生命科学园地铁 昌发,13.0,1650
回龙观地铁站 龙旗广场 三旗百汇 北京华联 精装次卧,14.0,1600
回龙观 平西府 流星花园三区 电梯房 采光好 3室1,80.0,5700
沙河 巩华城 朱辛庄 押一付一 精装整租 家电齐全,25.0,1300
育新三旗百汇龙旗广场精装主卧室出租,20.0,2200
整租回龙观首开国风美唐二期2室1厅,94.0,6500
地铁8号线 整租回龙观公园悦府一区两居室 随时看房,86.0,5800
回龙观东大街地铁站首开国风美唐二期两居室,78.0,6500
育知路 平西府 马连店家园 回龙观公园 文华市场 流,13.0,1000
好房优惠!朱辛庄南向卧室采光无敌近小米产业园石头科技,15.0,1850
平西府地铁8号线 马连店家园小区 精装大两居室 南北,86.0,5200
南北通透龙锦苑一区3室2厅,126.0,5800
8号线地铁 中间楼层 三居室出租 真实照片 价格 随,125.0,6500
8号线平西府地铁 整租朝南两居室 地铁近 采光好 带,93.0,4800
整租 · 回龙观 · 龙锦苑四区 · 3室1厅,131.0,7800
龙禧苑 3室2卫2厅 142平精装修 1800元/月,15.0,1800
急急急!静林湾双拼别墅!花园200平!精装修!拎包入,279.0,18000
13号线回龙观地铁口 业主签约 龙博苑精装南向大一居,60.0,4500
流星花园二区 3室1厅1卫,112.0,6800
平西府地铁站 马连店家园 南向两居室 家电家具齐全,76.0,5400
流星花园三区 3室1厅2卫 南北通透 电梯房 阳光充,115.0,6800
整租回龙观首开国风美唐二期2室1厅,94.0,8000
"霍营地铁站附近,龙跃苑四区精装修两居室",91.0,5200
0!朱辛庄南向卧室出门朱辛庄地铁昌平线近万达石头科技,15.0,1850
"(0押月付)龙腾苑二区精装三居,146平。楼层二层,",147.0,7500
8号线地铁站 精装100平米两居室真实照片价格 随时,102.0,5000
8号线平西府地铁 整租朝南两居室 地铁近 采光好 带,98.0,5000
龙腾四精装豪装两居。,105.0,6800
2层南北通透三居 龙腾苑四区 长期出租 随时看房,122.0,7300
领秀慧谷D区 两居室 随时用房 业主出租 看房方便,90.0,7000
回龙观龙腾苑六区 二层三居室 13号线地铁 西二旗上,119.0,7200
回龙观 霍营 和谐家园二区两居6000,94.0,6000
近生命科学园 珠江摩尔大厦 押一付一整租 诗和远方很,22.0,1300
8号线13号线霍营 龙跃东四 两室一厅 随时入住,98.0,5200
新出!蓝色调!两个大阳台!明厨!落地窗!,92.0,7300
急急急!龙城花园680平大独栋!包物业取暖!居住均可,681.0,28000
免佣 月付 东小口 天鑫家园 紫金书院 龙锦苑 精装,69.0,6500
"(免押金月付) 8号线平西府地铁口,精装三居两卫,",126.0,5500
8号线50米复式大一居 配套齐全 拎包入住 包物业取,45.0,4600
回龙观流星花园 精装三居出租 西二旗中关村生命科学园,112.0,5900
"8号线,龙锦苑东一区,精装两居,看房随时,价格可谈,",99.0,5000
霍营 回龙观 平西府 回龙观东大街 首开广场 春天里,20.0,1500
"地铁8-13旁,西二旗,西三旗,上地,龙街,精装大三",119.0,6300
龙旗广场 霍营 回龙观 旗胜家园 三旗百汇 龙跃苑三,18.0,2500
"新龙城二期,龙泽13旁紧邻西二旗万象汇纯精装南北通透",98.0,4500
"流星花园三区精装电梯三居两卫,还有神秘折扣",126.0,7500
8号线13号线 霍营 京都儿童医院 两居一卫 随时入,98.0,5700
8号线回龙观东大街地铁站 精装两居室 出租 真实照片,102.0,5300
回龙观 流星花园三区 精装三居室 电梯房 采光好 平,110.0,6800
8号线回龙观东大街地铁 和谐家园 南向主卧带独卫 中,19.0,2600
龙旗购物中心 回龙观医院 回龙观地铁 龙博苑精装主卧,20.0,1800
整租霍营龙锦苑东一区2室1厅,102.0,5600
紧挨地铁8育知路地铁站 出行方便快捷 云趣园精装次卧,15.0,1300
好房甄选!中天创业园近珠江摩尔赛迪产业园小米万达生命,13.0,1550
霍营地铁边 昌平二中 龙跃苑四区 三室两厅一卫 随时,125.0,6200
领秀慧谷C区(一区) 阳光充足 家电齐全 精装修,82.0,6200
沙河整租 诗和远方很贵 但找我租房不贵 月付拎包即住,22.0,1300
龙锦苑东二区 豪华装修 2室2厅1卫 阳光充足,102.0,7300
平西府地铁口 中间层两居室 精装修,89.0,5500
尚城复式随时看房入住 家具家电齐全,70.0,4000
3室2厅流星花园三区,128.0,7300
整租 霍营 龙锦苑东二区 2室1厅,125.0,6000
整租回龙观首开国风美唐二期2室1厅,94.0,6800
首开国风美唐 5室2卫2厅 有钥匙 随时看房 紧邻地,93.0,9000
"8号线平西府,流星花园三区,朝南主卧带阳台,电梯洋房",19.0,1300
"回龙观东大街地铁 和谐家园二区,南向主卧独卫 四家2",18.0,2000
"平西府地铁,马连店家园,全南向两居室,电梯高层,包物",71.0,5200
8号线平西府 业主签约公园悦府地上花园两居双阳台 环,86.0,5800
8号线东大街和谐家园精装修大次卧 两户用一卫,18.0,1300
回龙观 霍营龙锦苑东四区 精装二居室 南北通透8号线,102.0,5800
回龙观东大街 霍营 精装两居 随时入住,102.0,5400
13号线龙泽 回龙观地铁站旁 精装开间出租 电梯房,98.0,5200
回龙观东大街 回龙观 东亚上北 平西府 龙锦苑六区精,15.0,1600
回龙观 流星花园三区 两居室 整租 积水潭医院附近,101.0,6000
8号线回龙观东大街地铁 和谐家园 南向主卧带独卫 中,20.0,2400
8号线平西府 精装两居 随时入住,74.0,5400
8号线平西府 育知路 正德大厦 紫晶七星广场 流星花,17.0,1400
回龙观东大街 霍营 龙锦苑东四 四家两卫 精装厅卧合,19.0,1600
13号线回龙观 霍营 龙泽 育知路 平西府 东亚上北,50.0,3000
龙锦苑一区 3室2厅2卫,126.0,6500
流星花园二区 3室1厅1卫,112.0,6800
回龙观 育知路 积水潭医院 民水电气 集中供暖 东亚,50.0,3000
可短签!尚城南向卧室近赛迪产业园朱辛庄地铁定泗路合生,10.0,1599
回龙观 龙泽 霍营 北店时代广场 龙旗广场 新龙城次,14.0,1500
平西府地铁口两家一卫次卧电梯房西小口东升科技园金隅智,15.0,1400
龙泽地铁站 新龙城小主卧 三家合租 近地铁小米 百度,18.0,1500
月付免押 可公积金 美唐三期精装3居2卫 随时可看,128.0,9500
龙泽地铁新龙城小区精装大主卧出租,25.0,2100
整租龙泽新龙城3室1厅,118.0,7500
"精装三居室,价格可谈,包物业供暖费,随时入住",92.0,7500
平西府地铁口 中间层两居室 精装修,89.0,5500
813霍营站 南北通透 带衣帽间 三局两卫 龙跃苑东,125.0,7900
合租:次卧昌平回龙观云趣园二区 6室3厅 13㎡ 1,13.0,1700
无杂费!尚城公寓式开间南向采光拉满近珠江摩尔合生汇昌,25.0,2699
8号线地铁站 精装100平米两居室真实照片价格 随时,102.0,5000
昌平回龙观新龙城 2室2厅 101.18㎡ 6400,101.0,6400
13号线龙泽地铁站新龙城一期 正规两居室 东南朝向,98.0,4500
南北通透 3室2厅 和谐家园(一区) 次出租 家具好,126.0,6700
回龙观东大街地铁站 和谐二 精装朝南小主卧 出门就地,15.0,1200
十三号线回龙观地铁口 精装南向独卫 上地 西二旗 五,15.0,1799
8/13号线地铁霍营站 龙跃苑东二区 朝南厅隔 二楼,20.0,2000
8号线平西府地铁 公园悦府精装三居 交通便利 随时入,101.0,6000
平西府地铁口 电梯房 流星花园三区 三室两厅两卫 采,122.0,6800
13号线回龙观地铁站 电梯房 主卧带阳台 三家合租,16.0,1300
龙腾苑五区 3室1卫1厅 80平精装修 1800元/,15.0,1800
8号线回龙观东大街地铁站 精装两居室 出租 真实照片,102.0,5300
回龙观流星花园三区低楼层2居室,102.0,5400
出租艺术家的房子,126.0,1850
回龙观地铁站 龙旗购物中心 三旗百汇 龙博苑二区精装,16.0,1700
8号线地铁 中间楼层 三居室出租 真实照片 价格 随,125.0,6500
急急急!龙城花园680平大独栋!包物业取暖!居住均可,683.0,28000
急急急!龙城花园680平大独栋!包物业取暖!居住均可,680.0,28000
急急急!静林湾双拼别墅!花园200平!精装修!拎包入,278.0,18000
回龙观东大街 平西府 育知路 首开广场 文华市场 田,13.0,1300
急急急!龙城花园S区 150平 家具家电全齐 随时签,208.0,12000
8号线地铁口育知路 积水潭医院 回龙观 文华市场 云,12.0,1000
可免押金 月付 13号线霍营地铁站 龙跃苑三区,126.0,6500
13龙泽 回龙观 豪华装修朝南温馨次卧 地铁西二旗,18.0,1799
昌平回龙观融泽嘉园1号院 2室2厅 87.59㎡ 6,87.0,6500
昌平回龙观龙博苑三区 3室1厅 87.49㎡ 660,87.0,6600
回龙观 龙泽 三旗百汇 金燕龙大厦 龙旗广场 龙腾苑,10.0,1500
好房推荐!首开智慧社近北京华联回龙观地铁8号线13号,13.0,1799
花园300平!龙城花园大独栋 使用面积500平 签5,308.0,22000
回龙观 龙泽 霍营 北京华联 北店时代广场 首开智慧,40.0,3800
平西府 和谐家园 首开 云趣园 风雅园 龙回苑 田园,30.0,1800
回龙观 龙泽 霍营 育新 三旗百汇 龙旗广场 龙博苑,15.0,1500
整租·首开智慧社1室1厅,51.0,5000
整租·矩阵二期 3室2厅 南/北,137.0,8200
整租·回龙观·流星花园三区·2室,94.0,6200
整租·回龙观·和谐家园一区·3室,118.0,6500
整租·回龙观·和谐家园一区·3室,118.0,6200
